Time,Data
714,2434
715,2415
716,2438
717,2432
718,2441
719,2445
720,2447
721,2397
722,2447
723,2414
724,2406
725,2439
726,2416
727,2410
728,2399
729,2435
730,2441
731,2448
732,2445
733,2444
734,2448
735,2432
736,2442
737,2446
738,2447
739,2411
740,2416
741,2433
742,2442
743,2402
744,2439
745,2431
746,2439
747,2435
748,2421
749,2439
750,2411
751,2421
752,2422
753,2442
754,2403
755,2407
756,2430
757,2399
758,2435
759,2442
760,2435
761,2431
762,2436
763,2449
764,2441
765,2422
766,2369
767,2416
768,2413
769,2403
770,2445
771,2405
772,2439
773,2442
774,2433
775,2411
776,2439
777,2443
778,2436
779,2430
780,2416
781,2439
782,2437
783,2448
784,2415
785,2434
786,2432
787,2431
788,2411
789,2432
790,2401
791,2431
792,2399
793,2434
794,2437
795,2434
796,2439
797,2434
798,2414
799,2448
800,2433
801,2436
802,2438
803,2396
804,2437
805,2434
806,2403
807,2432
808,2439
809,2416
810,2438
811,2432
812,2431
813,2434
814,2406
815,2432
816,2432
817,2422
818,2446
819,2434
820,2441
821,2427
822,2416
823,2404
824,2393
825,2431
826,2399
827,2434
828,2435
829,2431
830,2429
831,2432
832,2430
833,2433
834,2438
835,2400
836,2400
837,2418
838,2437
839,2438
840,2400
841,2432
842,2436
843,2437
844,2435
845,2439
846,2437
847,2432
848,2419
849,2384
850,2407
851,2418
852,2428
853,2437
854,2436
855,2438
856,2441
857,2416
858,2439
860,2434
861,2427
862,2439
863,2412
864,2433
865,2437
866,2437
867,2434
868,2405
869,2446
870,2399
871,2404
872,2431
873,2437
874,2423
875,2427
876,2432
877,2438
878,2439
879,2431
880,2437
881,2435
882,2431
883,2399
884,2403
885,2405
886,2417
887,2410
888,2414
889,2423
890,2441
891,2431
892,2437
1245,0
